# Rime user dictionary
#@/db_name	clover
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	25055
#@/user_id	c10b546d-9061-4101-80d7-81e8dd66747f
a 	啊	c=107 d=7.79577 t=25055
shang de 	上的	c=1 d=3.08284e-10 t=25055
shang dian shi 	上电视	c=4 d=0.0384553 t=25055
shang ge 	上个	c=1 d=5.42115e-33 t=25055
shang guo 	上过	c=0 d=1.38927e-16 t=25055
shang hai 	上海	c=2 d=8.07859e-27 t=25055
shang hai 	伤害	c=3 d=0.525109 t=25055
shang hai zi lai shui 	上海自来水	c=1 d=1.39429e-28 t=25055
shang hao 	上好	c=1 d=0.00980366 t=25055
shang kan 	上看	c=1 d=1.17695e-05 t=25055
shang ke 	上课	c=4 d=7.15423e-08 t=25055
shang lai 	上来	c=2 d=0.0804596 t=25055
shang lai kan 	上来看	c=2 d=5.04952e-09 t=25055
shang lou ti 	上楼梯	c=1 d=1.52114e-23 t=25055
shang mi 	商谜	c=0 d=0.000509243 t=25055
shang mian 	上面	c=47 d=4.62197 t=25055
shang shu 	上述	c=2 d=5.67375e-10 t=25055
shang xian 	上线	c=1 d=4.10154e-16 t=25055
shang xian 	上限	c=3 d=0.444858 t=25055
shang ya li 	上压力	c=2 d=0.000383949 t=25055
shang yi 	上一	c=0 d=3.83219e-12 t=25055
shang yi e gao 	上一恶搞	c=1 d=3.8514e-11 t=25055
shang yi ge 	上一个	c=2 d=8.55135e-11 t=25055
shang yin 	上瘾	c=0 d=0.0414783 t=25055
shang zhan chang 	上战场	c=1 d=0.412714 t=25055
shao 	少	c=7 d=1.31407 t=25055
shao bing 	哨兵	c=1 d=0.135335 t=25055
shao dai 	捎带	c=1 d=0.995012 t=25055
shao deng 	稍等	c=1 d=7.01509e-36 t=25055
shao ge 	少个	c=1 d=3.15917e-33 t=25055
shao kan 	少看	c=1 d=1.57693e-35 t=25055
shao shen me 	少什么	c=1 d=1.32241e-23 t=25055
shao yi ge 	少一个	c=1 d=3.61959e-17 t=25055
shao you 	少有	c=1 d=3.74203e-25 t=25055
shao you 	稍有	c=1 d=3.72336e-25 t=25055
she bei 	设备	c=10 d=2.64212 t=25055
she ding 	设定	c=2 d=6.05377e-08 t=25055
she gong 	社工	c=0 d=1.04312e-27 t=25055
she hui 	社会	c=1 d=0.429557 t=25055
she hui shang 	社会上	c=1 d=0.0271874 t=25055
she ji 	涉及	c=1 d=1.04927e-07 t=25055
she ji 	设计	c=9 d=0.87249 t=25055
she ji dao 	涉及到	c=1 d=9.78334e-08 t=25055
she ji hao 	设计好	c=1 d=0.404542 t=25055
she xiang 	设想	c=1 d=1.1086e-07 t=25055
she zhi 	设置	c=16 d=2.23106 t=25055
she zhi cheng 	设置成	c=2 d=3.22731e-20 t=25055
she zhi hao 	设置好	c=1 d=2.29246e-25 t=25055
shei 	谁	c=4 d=0.351236 t=25055
shei dou 	谁都	c=1 d=0.740818 t=25055
shei fen pei 	谁分配	c=1 d=0.759572 t=25055
shei gan 	谁敢	c=1 d=4.39355e-31 t=25055
shei jiao 	谁教	c=0 d=3.68255e-14 t=25055
shei jiao ni 	谁教你	c=1 d=3.70101e-13 t=25055
shei kan 	谁看	c=1 d=0.000739157 t=25055
shei shi 	谁是	c=1 d=0.865022 t=25055
shei yong 	谁用	c=1 d=7.53936e-31 t=25055
shei zai 	谁在	c=1 d=0.182684 t=25055
shen 	伸	c=1 d=1.51958e-11 t=25055
shen 	深	c=1 d=1.06126e-23 t=25055
shen 	神	c=4 d=0.965605 t=25055
shen 	身	c=1 d=0.390628 t=25055
shen bu 	神不	c=0 d=2.77452e-36 t=25055
shen bu shen 	神不神	c=1 d=2.78843e-35 t=25055
shen duo 	甚多	c=1 d=0.878095 t=25055
shen fen 	身份	c=4 d=2.53395 t=25055
shen hai 	深海	c=1 d=1.16782e-31 t=25055
shen hua 	神话	c=2 d=1.6027e-23 t=25055
shen jiu 	深究	c=1 d=0.985112 t=25055
shen li 	神力	c=1 d=0.472367 t=25055
shen li 	神里	c=1 d=0.477114 t=25055
shen me 	什么	c=135 d=4.96625 t=25055
shen me ren 	什么人	c=1 d=0.222017 t=25055
shen me shi 	什么事	c=1 d=0.687289 t=25055
shen me shi 	什么是	c=2 d=1.6169e-06 t=25055
shen me yang 	什么样	c=1 d=4.2947e-28 t=25055
shen me yong 	什么用	c=1 d=1.54949e-05 t=25055
shen mei 	审美	c=1 d=0.87842 t=25055
shen ming 	申明	c=0 d=1.11567e-24 t=25055
shen qi 	神奇	c=0 d=0.0666977 t=25055
shen qing 	申请	c=2 d=1.04986e-33 t=25055
shen qing 	神情	c=1 d=2.09879e-16 t=25055
shen ru 	深入	c=1 d=2.23396e-15 t=25055
shen shen 	神神	c=1 d=1.54307e-15 t=25055
shen shi 	审视	c=1 d=1.21321e-09 t=25055
shen shu 	神术	c=1 d=6.78326e-23 t=25055
shen ye 	深夜	c=1 d=0.00396599 t=25055
shen yuan 	深渊	c=2 d=0.895834 t=25055
shen zao 	深造	c=1 d=1.21655e-12 t=25055
shen zhi 	甚至	c=8 d=0.955997 t=25055
shen zhong shen 	神中神	c=1 d=2.53624e-08 t=25055
sheng 	剩	c=1 d=0.767206 t=25055
sheng 	声	c=0 d=0.0213312 t=25055
sheng 	生	c=1 d=0.199888 t=25055
sheng 	省	c=1 d=0.508451 t=25055
sheng 	绳	c=0 d=0.0704688 t=25055
sheng cai 	生财	c=1 d=0.625002 t=25055
sheng cheng 	生成	c=4 d=0.0509099 t=25055
sheng cheng qi 	生成器	c=1 d=5.55951e-06 t=25055
sheng cheng shu 	生成树	c=1 d=0.995012 t=25055
sheng dan 	圣诞	c=1 d=0.748264 t=25055
sheng dan xing 	圣诞星	c=1 d=0.285076 t=25055
sheng dian 	省电	c=1 d=2.75787e-23 t=25055
sheng huo 	生活	c=2 d=4.88927e-24 t=25055
sheng lv 	胜率	c=1 d=0.29523 t=25055
sheng lve 	省略	c=1 d=0.955997 t=25055
sheng ming 	声明	c=7 d=0.0543351 t=25055
sheng ming 	生命	c=3 d=0.565525 t=25055
sheng ming shi 	声明式	c=1 d=0.546074 t=25055
sheng ming zhi 	生命值	c=1 d=0.56836 t=25055
sheng ming zhou qi 	生命周期	c=4 d=9.41758e-06 t=25055
sheng qi 	生气	c=2 d=0.690274 t=25055
sheng tai 	生态	c=2 d=0.597501 t=25055
sheng wo 	生我	c=1 d=1.78659e-33 t=25055
sheng xia 	剩下	c=1 d=9.78833e-14 t=25055
sheng yin 	声音	c=2 d=0.729789 t=25055
sheng yu 	剩余	c=1 d=0.690734 t=25055
sheng zi yuan 	省资源	c=1 d=0.0417941 t=25055
shi 	使	c=0 d=4.95456e-34 t=25055
shi 	式	c=2 d=0.139826 t=25055
shi 	是	c=491 d=11.9933 t=25055
shi 	试	c=1 d=1.89971e-20 t=25055
shi ba 	是吧	c=14 d=1.37015 t=25055
shi bai 	失败	c=6 d=0.40657 t=25055
shi bao 	施暴	c=1 d=0.104874 t=25055
shi ben di 	是本地	c=1 d=4.33787e-28 t=25055
shi bu shi 	是不是	c=32 d=2.72974 t=25055
shi ceng 	十层	c=1 d=0.822835 t=25055
shi cong 	是从	c=1 d=9.93965e-18 t=25055
shi dai 	时代	c=1 d=4.38295e-32 t=25055
shi de 	是的	c=1 d=6.16641e-19 t=25055
shi er dian 	十二点	c=3 d=1.34973 t=25055
shi er fen 	十二分	c=0 d=5.86567e-20 t=25055
shi fa 	始发	c=1 d=0.774916 t=25055
shi fang 	释放	c=3 d=4.96578e-12 t=25055
shi fen 	十分	c=1 d=0.909373 t=25055
shi fen miao 	时分秒	c=5 d=6.36512e-17 t=25055
shi fou 	是否	c=10 d=1.13796 t=25055
shi fou he fa 	是否合法	c=1 d=7.51095e-16 t=25055
shi fu 	师傅	c=4 d=8.03447e-31 t=25055
shi gan 	实感	c=1 d=0.240508 t=25055
shi ge 	十个	c=2 d=0.000539429 t=25055
shi ge 	是个	c=1 d=1.35147e-14 t=25055
shi ge 	诗歌	c=1 d=0.329559 t=25055
shi gei shei 	是给谁	c=1 d=0.355226 t=25055
shi hao 	是好	c=1 d=0.377192 t=25055
shi hao kan 	是好看	c=1 d=0.17552 t=25055
shi he 	适合	c=2 d=1.11147e-08 t=25055
shi hei 	是黑	c=0 d=3.06111e-16 t=25055
shi hou 	时候	c=66 d=3.56376 t=25055
shi hou yu 	时候与	c=1 d=8.8064e-35 t=25055
shi hua 	实话	c=1 d=8.85233e-08 t=25055
shi ji 	世纪	c=1 d=0.264477 t=25055
shi ji 	十几	c=0 d=0.0232236 t=25055
shi ji 	实机	c=2 d=2.15009e-06 t=25055
shi ji 	实际	c=1 d=2.16087e-06 t=25055
shi ji bei 	十几倍	c=1 d=0.2334 t=25055
shi ji fen zhong 	十几分钟	c=1 d=1.19368e-24 t=25055
shi ji shan 	是稷山	c=1 d=4.20179e-06 t=25055
shi ji shang 	实际上	c=25 d=3.31131 t=25055
shi jian 	实践	c=1 d=3.95428e-27 t=25055
shi jian 	时间	c=44 d=2.14548 t=25055
shi jian chang 	时间场	c=1 d=2.09515e-25 t=25055
shi jie 	世界	c=2 d=0.815258 t=25055
shi jue 	视觉	c=1 d=0.486752 t=25055
shi ke 	时刻	c=2 d=2.01309e-06 t=25055
shi li 	实例	c=1 d=1.4306e-07 t=25055
shi ma 	是吗	c=2 d=0.644036 t=25055
shi na zhong 	是那种	c=1 d=0.677057 t=25055
shi pei 	适配	c=1 d=0.744532 t=25055
shi pin 	视频	c=9 d=0.385498 t=25055
shi qing 	事情	c=10 d=3.05173 t=25055
shi ru he 	是如何	c=1 d=1.25228e-29 t=25055
shi sha 	是啥	c=3 d=1.73087e-13 t=25055
shi shei 	是谁	c=1 d=0.121238 t=25055
shi shen me 	是什么	c=4 d=0.351692 t=25055
shi shi 	事实	c=1 d=0.0277367 t=25055
shi shi 	实施	c=1 d=0.404542 t=25055
shi shi 	试试	c=6 d=3.62744e-14 t=25055
shi shi kan 	试试看	c=1 d=0.40657 t=25055
shi shi shang 	事实上	c=3 d=0.463989 t=25055
shi shuo 	时说	c=0 d=4.64118e-30 t=25055
shi tan 	试探	c=1 d=0.186374 t=25055
shi tu 	视图	c=1 d=0.357007 t=25055
shi tu 	试图	c=3 d=0.355226 t=25055
shi wei 	视为	c=6 d=2.11904e-19 t=25055
shi wo 	是我	c=2 d=8.69802e-07 t=25055
shi wu 	失误	c=1 d=2.80679e-24 t=25055
shi wu 	食物	c=2 d=1.15253 t=25055
shi xian 	实现	c=26 d=2.59172 t=25055
shi xiang 	是像	c=2 d=2.45025e-14 t=25055
shi xiong 	师兄	c=0 d=4.35368e-13 t=25055
shi xiong mei 	师兄妹	c=1 d=4.3755e-12 t=25055
shi xuan ze 	是选择	c=1 d=2.95934e-29 t=25055
shi yan 	实验	c=6 d=0.918512 t=25055
shi yao 	是要	c=1 d=8.63817e-14 t=25055
shi yi ge 	是一个	c=18 d=1.88095 t=25055
shi yi tu 	示意图	c=1 d=0.941765 t=25055
shi yi xia 	试一下	c=1 d=0.00477195 t=25055
shi yi yang 	是一样	c=3 d=0.740818 t=25055
shi yin wei 	是因为	c=2 d=2.51356e-20 t=25055
shi ying 	适应	c=2 d=0.774916 t=25055
shi yong 	使用	c=69 d=5.35597 t=25055
shi yong 	实用	c=1 d=0.212248 t=25055
shi yong lai 	是用来	c=2 d=0.794534 t=25055
shi yong ou guan 	使用欧冠	c=1 d=0.774916 t=25055
shi yong zhe 	使用者	c=2 d=1.50051 t=25055
shi you 	室友	c=11 d=1.89019 t=25055
shi you 	是由	c=1 d=0.733447 t=25055
shi yu 	始于	c=2 d=0.606531 t=25055
shi za 	食杂	c=1 d=5.7595e-10 t=25055
shi zai 	是在	c=10 d=1.12656 t=25055
shi zai bu xing 	实在不行	c=1 d=0.752014 t=25055
shi zai kan 	是在看	c=1 d=0.00304273 t=25055
shi zai shi 	实在是	c=0 d=5.10284e-28 t=25055
shi ze 	实则	c=1 d=0.23457 t=25055
shi zhan 	实战	c=2 d=0.8639 t=25055
shi zhan zhong 	实战中	c=1 d=0.574072 t=25055
shi zhe yang 	是这样	c=14 d=1.93108 t=25055
shi zhi 	是指	c=1 d=1.00604e-12 t=25055
shi zhong 	时钟	c=1 d=7.77294e-37 t=25055
shi zi 	式子	c=2 d=2.40672e-09 t=25055
shi zuo 	视作	c=2 d=1.00169e-19 t=25055
shou 	受	c=1 d=0.373439 t=25055
shou 	手	c=2 d=0.960789 t=25055
shou 	首	c=0 d=2.15339e-25 t=25055
shou bu liao 	受不了	c=4 d=2.48716 t=25055
shou cang 	收藏	c=0 d=0.0970446 t=25055
shou cang jia 	收藏夹	c=1 d=0.50409 t=25055
shou chao 	手抄	c=1 d=3.22968e-28 t=25055
shou da 	手打	c=1 d=2.89429e-28 t=25055
shou dao 	收到	c=5 d=2.22655 t=25055
shou dong 	手动	c=3 d=8.83514e-32 t=25055
shou fa 	手法	c=1 d=0.955997 t=25055
shou fang 	受访	c=0 d=0.0831104 t=25055
shou fou 	手否	c=1 d=0.88692 t=25055
shou hai 	受害	c=2 d=0.206627 t=25055
shou huo 	收获	c=1 d=0.582748 t=25055
shou ji 	手机	c=3 d=0.737123 t=25055
shou ji 	收集	c=4 d=0.733447 t=25055
shou ji hao 	手机号	c=1 d=2.93349e-14 t=25055
shou mang jiao luan 	手忙脚乱	c=1 d=0.980199 t=25055
shou shou 	收手	c=0 d=3.67305e-13 t=25055
shou shou ba 	收手吧	c=1 d=3.69146e-12 t=25055
shou xian 	首先	c=4 d=0.28084 t=25055
shou ye 	首页	c=2 d=0.362544 t=25055
shou yi 	收益	c=1 d=0.937067 t=25055
shou you 	手游	c=3 d=1.06461 t=25055
shou zui 	受罪	c=1 d=0.379083 t=25055
shu 	书	c=7 d=2.42083 t=25055
shu 	树	c=1 d=1.5802e-30 t=25055
shu biao 	鼠标	c=3 d=0.465334 t=25055
shu chu 	输出	c=12 d=0.761226 t=25055
shu fu 	舒服	c=3 d=0.740818 t=25055
shu ge 	数个	c=0 d=2.36027e-16 t=25055
shu ji 	书籍	c=5 d=7.20862e-12 t=25055
shu ju 	数据	c=28 d=7.33587 t=25055
shu ju jie gou 	数据结构	c=1 d=1.76395e-30 t=25055
shu ju ku 	数据库	c=13 d=4.15592 t=25055
shu ju lian lu 	数据链路	c=2 d=1.14743 t=25055
shu ju lian lu ceng 	数据链路层	c=2 d=1.23979 t=25055
shu ju yuan 	数据源	c=1 d=2.05332e-23 t=25055
shu le 	输了	c=1 d=0.00286554 t=25055
shu lian 	熟练	c=2 d=1.12284 t=25055
shu liang 	数量	c=1 d=8.758e-29 t=25055
shu mei 	树莓	c=0 d=9.35095e-36 t=25055
shu mei pai 	树莓派	c=15 d=0.000828215 t=25055
shu mei pao 	树莓跑	c=1 d=9.39782e-35 t=25055
shu ru 	输入	c=13 d=1.70795 t=25055
shu ru fa 	输入法	c=26 d=9.92979 t=25055
shu ru kuang 	输入框	c=1 d=0.860708 t=25055
shu shi 	舒适	c=1 d=0.786628 t=25055
shu xi 	熟悉	c=3 d=0.219808 t=25055
shu xia 	树下	c=1 d=1.20588e-26 t=25055
shu xing 	属性	c=12 d=3.32709 t=25055
shu xue 	数学	c=2 d=0.000246535 t=25055
shu yu 	属于	c=1 d=0.132912 t=25055
shu yu shi 	属于是	c=1 d=0.139457 t=25055
shu zhi 	数值	c=2 d=3.94205e-20 t=25055
shu zhuang 	树状	c=2 d=0.235719 t=25055
shu zi 	数字	c=5 d=7.47362e-14 t=25055
shu zu 	数组	c=8 d=0.104353 t=25055
shua 	刷	c=2 d=1.06943 t=25055
shua bu chu 	刷不出	c=1 d=0.138069 t=25055
shua ji 	刷机	c=0 d=0.0145876 t=25055
shua ji ci 	刷机词	c=1 d=0.146607 t=25055
shua shi pin 	刷视频	c=1 d=0.150318 t=25055
shua ti 	刷题	c=2 d=0.955997 t=25055
shua xin 	刷新	c=3 d=1.1432 t=25055
shua xin lv 	刷新率	c=2 d=1.73504 t=25055
shuai 	帅	c=5 d=2.70725 t=25055
shuai 	率	c=2 d=0.00703584 t=25055
shuang 	爽	c=2 d=5.64323e-14 t=25055
shuang bao 	双爆	c=3 d=1.44563 t=25055
shuang dao 	爽到	c=1 d=8.02903e-36 t=25055
shuang xian ka 	双显卡	c=1 d=0.410656 t=25055
shuang yin hao 	双引号	c=1 d=6.17166e-29 t=25055
shui 	睡	c=4 d=1.63196 t=25055
shui bu zhe 	睡不着	c=1 d=0.369723 t=25055
shui dun 	水遁	c=1 d=0.980199 t=25055
shui jiao 	睡觉	c=4 d=0.97531 t=25055
shui ke 	水课	c=1 d=2.16271e-16 t=25055
shui ping 	水平	c=7 d=0.236121 t=25055
shui xia 	水下	c=1 d=1.21193e-26 t=25055
shun dai 	顺带	c=2 d=2.11301e-05 t=25055
shun xu 	顺序	c=2 d=2.32711e-25 t=25055
shun ying 	顺应	c=1 d=4.26153e-25 t=25055
shuo 	说	c=29 d=2.24564 t=25055
shuo ba 	说吧	c=1 d=3.03901e-18 t=25055
shuo bai 	说白	c=1 d=0.336216 t=25055
shuo bie ren 	说别人	c=1 d=0.209088 t=25055
shuo bu ding 	说不定	c=4 d=2.82038e-22 t=25055
shuo bu ming bai 	说不明白	c=1 d=7.74496e-24 t=25055
shuo de 	说的	c=1 d=6.33133e-06 t=25055
shuo fa 	说法	c=6 d=0.537254 t=25055
shuo guo 	说过	c=1 d=3.10304e-28 t=25055
shuo hua 	说话	c=6 d=0.00654898 t=25055
shuo ju 	说句	c=1 d=4.21253e-36 t=25055
shuo le 	说了	c=1 d=0.000220415 t=25055
shuo ming 	说明	c=6 d=0.0243554 t=25055
shuo ni 	说你	c=1 d=0.822835 t=25055
shuo qi 	说起	c=1 d=0.0319048 t=25055
shuo shen me 	说什么	c=2 d=1.63518e-23 t=25055
shuo shi 	说是	c=2 d=1.04428 t=25055
shuo shi hua 	说实话	c=3 d=2.43681e-08 t=25055
shuo yi ju 	说一句	c=0 d=1.63032e-16 t=25055
shuo yi xia 	说一下	c=2 d=0.319819 t=25055
si 	丝	c=3 d=1.8794 t=25055
si 	似	c=1 d=0.519442 t=25055
si 	嘶	c=14 d=2.74333 t=25055
si 	四	c=1 d=0.0940944 t=25055
si 	死	c=2 d=7.74101e-18 t=25055
si bai 	四百	c=1 d=7.54193e-35 t=25055
si chuan da xue 	四川大学	c=1 d=2.69307e-08 t=25055
si fang 	四方	c=1 d=0.634448 t=25055
si ge 	四个	c=2 d=3.3471e-07 t=25055
si ge ren 	四个人	c=1 d=3.73237e-24 t=25055
si ge zi 	四个字	c=1 d=0.479505 t=25055
si hu 	似乎	c=5 d=1.37643e-06 t=25055
si hui he 	四回合	c=1 d=0.937067 t=25055
si huo 	死活	c=1 d=0.856415 t=25055
si jie ke 	四节课	c=1 d=6.91322e-11 t=25055
si kao 	思考	c=2 d=1.07082 t=25055
si kao ti 	思考题	c=1 d=3.36331e-05 t=25055
si lai 	撕来	c=1 d=0.786628 t=25055
si lai xiang qu 	思来想去	c=1 d=0.794534 t=25055
si lu 	思路	c=4 d=0.980199 t=25055
si lu jiu shi 	思路就是	c=1 d=9.90018e-30 t=25055
si ma zhao 	司马昭	c=1 d=0.537944 t=25055
si ming 	死命	c=1 d=7.49666e-23 t=25055
si tiao 	四条	c=1 d=5.65814e-07 t=25055
si wang 	死亡	c=1 d=1.3606e-05 t=25055
si xia 	私下	c=1 d=9.28533e-11 t=25055
si xiang 	思想	c=4 d=0.142527 t=25055
si xing 	四星	c=2 d=0.346456 t=25055
si ye cao 	四叶草	c=2 d=5.94299e-26 t=25055
si yuan 	思源	c=5 d=1.27885 t=25055
si yuan hei ti 	思源黑体	c=2 d=0.683861 t=25055
si yuan zu 	四元组	c=1 d=4.00653e-05 t=25055
song 	宋	c=1 d=1.01965e-23 t=25055
song 	送	c=4 d=1.08683 t=25055
song dian 	送点	c=1 d=1.48868e-34 t=25055
song dian 	送电	c=1 d=1.48126e-34 t=25055
song lian 	宋濂	c=1 d=0.831104 t=25055
sou 	搜	c=3 d=0.0946485 t=25055
sou bu dao 	搜不到	c=2 d=1.1371e-31 t=25055
sou gou 	搜狗	c=5 d=1.27305 t=25055
sou suo 	搜索	c=8 d=0.00490874 t=25055
su 	宿	c=1 d=0.0564161 t=25055
su 	苏	c=1 d=1.81427e-09 t=25055
su 	速	c=1 d=0.802848 t=25055
su dong 	速冻	c=1 d=1.50339e-32 t=25055
su du 	速度	c=12 d=3.83386 t=25055
su guan 	宿管	c=1 d=5.02174e-15 t=25055
su gui 	速归	c=1 d=0.278037 t=25055
su shen 	苏神	c=1 d=1.52772e-15 t=25055
su su 	速速	c=1 d=0.715338 t=25055
suan 	算	c=3 d=0.000155324 t=25055
suan bu shang 	算不上	c=1 d=0.132655 t=25055
suan bu suan 	算不算	c=1 d=0.000293099 t=25055
suan fa 	算法	c=7 d=1.0327 t=25055
suan hao 	算好	c=1 d=0.687289 t=25055
suan ji 	算计	c=0 d=0.0794534 t=25055
suan ji shi you 	算计室友	c=1 d=0.798516 t=25055
suan le 	算了	c=39 d=3.15806 t=25055
suan shi 	算是	c=2 d=0.452113 t=25055
sui ran 	虽然	c=37 d=2.50119 t=25055
sui ran a 	虽然啊	c=1 d=0.782705 t=25055
sui ran shuo 	虽然说	c=1 d=1.22032e-19 t=25055
sui ran wo 	虽然我	c=2 d=8.02083e-24 t=25055
sui tang 	随堂	c=3 d=4.26602e-08 t=25055
sui zhou 	随州	c=3 d=4.89328e-37 t=25055
sun ce 	孙策	c=3 d=2.65181 t=25055
suo 	所	c=0 d=0.00837432 t=25055
suo fang 	缩放	c=3 d=1.79187 t=25055
suo kong 	锁孔	c=1 d=1.86051e-10 t=25055
suo ping 	锁屏	c=1 d=1 t=25055
suo ran 	索然	c=2 d=0.763379 t=25055
suo shang 	所伤	c=1 d=0.955997 t=25055
suo wei 	所谓	c=4 d=0.484388 t=25055
suo yi 	所以	c=34 d=2.24047 t=25055
suo you 	所有	c=41 d=2.11199 t=25055
suo zai 	所在	c=3 d=0.644036 t=25055
ta 	他	c=5 d=1.96469 t=25055
ta 	她	c=8 d=1.85956 t=25055
ta 	它	c=47 d=3.21168 t=25055
ta 	踏	c=1 d=0.946485 t=25055
ta he 	他和	c=1 d=4.65477e-34 t=25055
ta jiu 	它就	c=0 d=7.98355e-29 t=25055
ta jiu shi 	它就是	c=1 d=8.02356e-28 t=25055
ta men 	他们	c=7 d=0.918257 t=25055
ta men 	她们	c=2 d=0.468437 t=25055
ta men 	它们	c=2 d=2.57807e-24 t=25055
ta zhe ge 	它这个	c=2 d=1.08044 t=25055
tai 	太	c=8 d=1.64051 t=25055
tai cao 	太草	c=1 d=0.960789 t=25055
tai da 	太大	c=3 d=0.471773 t=25055
tai di 	太低	c=1 d=0.193013 t=25055
tai dong 	胎动	c=1 d=1.02794e-30 t=25055
tai du 	态度	c=2 d=0.159614 t=25055
tai duo 	太多	c=3 d=0.156453 t=25055
tai gao 	太搞	c=2 d=0.944307 t=25055
tai gao 	太高	c=0 d=0.000319873 t=25055
tai gao xiao 	太高小	c=2 d=0.802928 t=25055
tai ha ren 	太哈人	c=1 d=0.980199 t=25055
tai hao 	太好	c=1 d=0.647265 t=25055
tai hao kan 	太好看	c=1 d=0.453845 t=25055
tai hen 	太狠	c=2 d=0.794534 t=25055
tai kuai 	太快	c=1 d=0.000207579 t=25055
tai la 	太拉	c=2 d=1.24738 t=25055
tai la 	泰拉	c=10 d=0.995032 t=25055
tai la rui ya 	泰拉瑞亚	c=2 d=1.90068e-26 t=25055
tai lan 	太烂	c=1 d=7.21275e-10 t=25055
tai le 	太乐	c=1 d=0.600496 t=25055
tai le 	泰勒	c=1 d=0.995012 t=25055
tai li pu 	太离谱	c=4 d=0.854579 t=25055
tai luan 	太乱	c=1 d=4.0154e-31 t=25055
tai ma fan 	太麻烦	c=1 d=0.546074 t=25055
tai man 	太慢	c=0 d=2.90627e-23 t=25055
tai mo hu 	太模糊	c=1 d=0.882497 t=25055
tai nan 	太难	c=2 d=0.120976 t=25055
tai nan shou 	太难受	c=1 d=0.418952 t=25055
tai nan shua 	太难刷	c=1 d=0.839457 t=25055
tai nan yong 	太难用	c=1 d=0.97531 t=25055
tai ni tian 	太逆天	c=6 d=1.39226 t=25055
tai shao 	太少	c=1 d=0.546074 t=25055
tai shi 	台式	c=1 d=1.50109e-14 t=25055
tai shu xi 	太熟悉	c=1 d=5.52408e-19 t=25055
tai shuai 	太帅	c=2 d=1.76253 t=25055
tai shuang 	太爽	c=3 d=1.83602 t=25055
tai tong ku 	太痛苦	c=1 d=7.39912e-16 t=25055
tai wan 	太晚	c=1 d=4.51735e-05 t=25055
tai xiang 	太想	c=0 d=0.00281559 t=25055
tai xiao 	太小	c=1 d=0.465334 t=25055
tai xing 	太行	c=0 d=1.45519e-32 t=25055
tai yao yuan 	太遥远	c=1 d=0.236928 t=25055
tai zao 	太早	c=1 d=0.00571306 t=25055
tai zhong er 	太中二	c=1 d=0.847894 t=25055
tan 	探	c=2 d=0.000378233 t=25055
tan 	谈	c=1 d=0.000380129 t=25055
tan 	谭	c=1 d=0.118837 t=25055
tan chu 	弹出	c=1 d=0.0609571 t=25055
tan chu lai 	弹出来	c=1 d=0.612626 t=25055
tan chu lai 	探出来	c=1 d=0.609571 t=25055
tan du 	坦度	c=1 d=7.19145e-34 t=25055
tan suo 	探索	c=1 d=4.44844e-30 t=25055
tan tao 	探讨	c=1 d=0.941765 t=25055
tang 	唐	c=1 d=1.01143e-16 t=25055
tang 	糖	c=4 d=0.0488012 t=25055
tang ban 	唐班	c=1 d=1.7661e-15 t=25055
tang shan 	唐山	c=1 d=0.0547488 t=25055
tang wan 	唐完	c=1 d=3.06423e-27 t=25055
tao 	套	c=1 d=0.694468 t=25055
tao 	逃	c=1 d=3.53575e-05 t=25055
tao 	陶	c=1 d=0.000393669 t=25055
tao li 	逃离	c=1 d=1.8961e-27 t=25055
tao lun 	讨论	c=9 d=1.1375 t=25055
tao sheng 	逃生	c=1 d=0.687289 t=25055
tao zhe 	陶喆	c=3 d=2.66587 t=25055
tao zhuang 	套装	c=1 d=0.814647 t=25055
te 	特	c=1 d=0.585669 t=25055
te bie 	特别	c=6 d=1.34046 t=25055
te bie chun 	特别蠢	c=1 d=0.752014 t=25055
te ding 	特定	c=1 d=4.16494e-20 t=25055
te luo yi 	特洛伊	c=1 d=9.94472e-24 t=25055
te shu 	特殊	c=1 d=5.87466e-37 t=25055
te xiao 	特效	c=1 d=2.07968e-26 t=25055
te xing 	特性	c=8 d=0.239335 t=25055
te yi 	特意	c=2 d=0.396531 t=25055
te you 	特有	c=1 d=0.000176005 t=25055
te zheng 	特征	c=1 d=0.565525 t=25055
teng xun 	腾讯	c=1 d=0.67032 t=25055
ti 	提	c=0 d=0.0499074 t=25055
ti 	题	c=2 d=0.0128735 t=25055
ti cai 	体裁	c=1 d=0.324652 t=25055
ti chu 	提出	c=1 d=4.88677e-18 t=25055
ti dai pin 	替代品	c=1 d=4.33934e-32 t=25055
ti dao 	提到	c=2 d=0.909373 t=25055
ti gao 	提高	c=2 d=0.852144 t=25055
ti gong 	提供	c=8 d=0.0193512 t=25055
ti huan 	替换	c=10 d=3.86474e-18 t=25055
ti huan cheng 	替换成	c=4 d=3.49758e-20 t=25055
ti huan wei 	替换为	c=3 d=9.02094e-21 t=25055
ti jiao 	提交	c=1 d=1.57913e-22 t=25055
ti li 	体力	c=2 d=0.666977 t=25055
ti mu 	题目	c=7 d=0.437486 t=25055
ti qi lai 	提起来	c=1 d=3.83076e-36 t=25055
ti qian 	提前	c=1 d=0.865022 t=25055
ti qu 	提取	c=2 d=0.0320647 t=25055
ti sheng 	提升	c=3 d=0.609571 t=25055
